"site2","Yr","Mnth.x","Julian","Hr","count","Mnth.y","degc_avg"
"A",2019,"May",148,16,0,"May",25.2333333333333
"A",2019,"May",148,17,0,"May",23.1555555555556
"A",2019,"May",148,18,0,"May",21.1555555555556
"A",2019,"May",148,19,0,"May",18.7166666666667
"A",2019,"May",148,20,0,"May",16.4277777777778
"A",2019,"May",148,21,0,"May",15.3
"A",2019,"May",148,22,0,"May",14.35
"A",2019,"May",148,23,0,"May",14.4388888888889
"A",2019,"May",149,0,0,"May",14.2833333333333
"A",2019,"May",149,1,0,"May",14.0055555555556
"A",2019,"May",149,2,0,"May",14.0388888888889
"A",2019,"May",149,3,1,"May",13.5555555555556
"A",2019,"May",149,4,22,"May",13.65
"A",2019,"May",149,5,27,"May",14.4388888888889
"A",2019,"May",149,6,0,"May",15.6277777777778
"A",2019,"May",149,7,0,"May",17.4333333333333
"A",2019,"May",149,8,0,"May",20.2055555555556
"A",2019,"May",149,9,0,"May",23.6277777777778
"A",2019,"May",149,10,0,"May",24.9388888888889
"A",2019,"May",149,12,0,"May",28.5111111111111
"A",2019,"May",149,13,0,"May",29.4
"A",2019,"May",149,14,0,"May",31.1555555555556
"A",2019,"May",149,16,0,"May",30.4944444444444
"A",2019,"May",149,17,0,"May",28.3833333333333
"A",2019,"May",149,18,0,"May",26.1
"A",2019,"May",149,19,0,"May",23.1222222222222
"A",2019,"May",149,20,0,"May",20.3111111111111
"A",2019,"May",149,21,0,"May",18.9277777777778
"A",2019,"May",149,22,0,"May",19.1333333333333
"A",2019,"May",149,23,0,"May",19.05
"A",2019,"May",150,0,0,"May",18.1
"A",2019,"May",150,1,0,"May",17.8555555555556
"A",2019,"May",150,2,0,"May",18.0666666666667
"A",2019,"May",150,3,0,"May",17.1111111111111
"A",2019,"May",150,4,4,"May",15.8833333333333
"A",2019,"May",150,5,22,"May",15.2333333333333
"A",2019,"May",150,6,0,"May",16.6555555555556
"A",2019,"May",150,7,0,"May",20.1
"A",2019,"May",150,8,0,"May",23.3333333333333
"A",2019,"May",150,9,0,"May",26.2111111111111
"A",2019,"May",150,10,0,"May",28.2222222222222
"A",2019,"May",150,11,0,"May",30.1777777777778
"A",2019,"May",150,12,1,"May",31.8
"A",2019,"May",150,13,0,"May",32.7888888888889
"A",2019,"May",150,14,0,"May",31.3111111111111
"A",2019,"May",150,15,0,"May",30.7666666666667
"A",2019,"May",150,16,0,"May",33.0166666666667
"A",2019,"May",150,18,0,"May",27.8944444444444
"A",2019,"May",150,19,0,"May",24.7333333333333
"A",2019,"May",150,20,0,"May",22.5055555555556
"A",2019,"May",150,21,0,"May",21.5277777777778
"A",2019,"May",150,23,0,"May",18.4055555555556
"A",2019,"May",151,0,0,"May",18.8333333333333
"A",2019,"May",151,1,0,"May",18.2444444444444
"A",2019,"May",151,2,0,"May",17.8722222222222
"A",2019,"May",151,3,0,"May",16.1611111111111
"A",2019,"May",151,4,0,"May",14.8833333333333
"A",2019,"May",151,5,2,"May",14.6833333333333
"A",2019,"May",151,6,0,"May",16.7611111111111
"A",2019,"May",151,7,0,"May",19.4166666666667
"A",2019,"May",151,8,0,"May",23.2777777777778
"A",2019,"May",151,9,0,"May",26.4333333333333
"A",2019,"May",151,10,0,"May",27.9111111111111
"A",2019,"May",151,11,0,"May",29.4888888888889
"A",2019,"May",151,12,0,"May",30.6666666666667
"A",2019,"May",151,13,0,"May",31.4777777777778
"A",2019,"May",151,14,0,"May",32.5111111111111
"A",2019,"May",151,15,0,"May",29.1277777777778
"A",2019,"May",151,16,0,"May",30.2388888888889
"A",2019,"May",151,17,0,"May",30.3222222222222
"A",2019,"May",151,18,0,"May",26.0333333333333
"A",2019,"May",151,19,0,"May",22.6222222222222
"A",2019,"May",151,20,0,"May",23.3222222222222
"A",2019,"May",151,21,0,"May",21.6722222222222
"A",2019,"May",151,22,0,"May",21.35
"A",2019,"May",151,23,0,"May",20.8666666666667
"A",2019,"Jun",152,0,0,"Jun",19.4833333333333
"A",2019,"Jun",152,1,0,"Jun",18.5666666666667
"A",2019,"Jun",152,2,0,"Jun",17.4833333333333
"A",2019,"Jun",152,3,0,"Jun",16.5777777777778
"A",2019,"Jun",152,4,0,"Jun",15.9888888888889
"A",2019,"Jun",152,5,7,"Jun",15.0777777777778
"A",2019,"Jun",152,6,0,"Jun",16.7888888888889
"A",2019,"Jun",152,7,0,"Jun",21.1944444444444
"A",2019,"Jun",152,8,0,"Jun",25.3444444444444
"A",2019,"Jun",152,9,0,"Jun",28.7611111111111
"A",2019,"Jun",152,10,0,"Jun",30.95
"A",2019,"Jun",152,11,0,"Jun",32.1111111111111
"A",2019,"Jun",152,12,0,"Jun",33.6222222222222
"A",2019,"Jun",152,13,0,"Jun",33.8555555555556
