"site","Year","Julian","nObs","NowPrDay"
"mikewoolf1",2020,265,46,20
"mikewoolf2",2020,265,40,54
"mikewoolf2",2020,266,19,51
"mikewoolf3",2020,265,46,25
"mikewoolf3",2020,266,25,20
"mikewoolf4",2020,261,48,20
"mikewoolf4",2020,263,47,20
"mikewoolf4",2020,265,51,38
