"datetime","pest_nmbr","pest_dif","reviewed","event","site"
2020-04-22 03:18:00,5,4,"Yes",NA,"mikewoolf1"
2020-04-22 05:02:00,7,2,"Yes",NA,"mikewoolf1"
2020-04-22 06:35:00,9,2,"Yes",NA,"mikewoolf1"
2020-04-22 07:03:00,9,0,"Yes",NA,"mikewoolf1"
2020-04-22 07:27:00,9,0,"Yes",NA,"mikewoolf1"
2020-04-22 08:03:00,8,0,"Yes",NA,"mikewoolf1"
2020-04-22 08:27:00,6,0,"Yes",NA,"mikewoolf1"
2020-04-22 08:57:00,6,0,"Yes",NA,"mikewoolf1"
2020-04-22 09:28:00,6,0,"Yes",NA,"mikewoolf1"
2020-04-22 10:08:00,6,0,"Yes",NA,"mikewoolf1"
2020-04-22 11:10:00,6,0,"Yes",NA,"mikewoolf1"
2020-04-22 11:28:00,6,0,"Yes",NA,"mikewoolf1"
2020-04-22 11:59:00,6,0,"Yes",NA,"mikewoolf1"
2020-04-22 12:38:00,6,0,"Yes",NA,"mikewoolf1"
2020-04-22 12:58:00,6,0,"Yes",NA,"mikewoolf1"
2020-04-22 13:28:00,6,0,"Yes",NA,"mikewoolf1"
2020-04-22 13:58:00,6,0,"Yes",NA,"mikewoolf1"
2020-04-22 14:45:00,6,0,"Yes",NA,"mikewoolf1"
2020-04-22 14:58:00,6,0,"Yes",NA,"mikewoolf1"
2020-04-22 15:28:00,6,0,"Yes",NA,"mikewoolf1"
2020-04-22 15:59:00,6,0,"Yes",NA,"mikewoolf1"
2020-04-22 16:29:00,6,0,"Yes",NA,"mikewoolf1"
2020-04-22 17:00:00,6,0,"Yes",NA,"mikewoolf1"
2020-04-22 17:39:00,6,0,"Yes",NA,"mikewoolf1"
2020-04-22 17:59:00,6,0,"Yes",NA,"mikewoolf1"
2020-04-22 18:29:00,6,0,"Yes",NA,"mikewoolf1"
2020-04-22 19:10:00,6,0,"Yes",NA,"mikewoolf1"
2020-04-23 01:23:00,6,0,"Yes",NA,"mikewoolf1"
2020-04-23 02:38:00,6,0,"Yes",NA,"mikewoolf1"
2020-04-23 02:56:00,6,0,"Yes",NA,"mikewoolf1"
2020-04-23 03:26:00,6,0,"Yes",NA,"mikewoolf1"
2020-04-23 03:56:00,6,0,"Yes",NA,"mikewoolf1"
2020-04-23 04:26:00,6,0,"Yes",NA,"mikewoolf1"
2020-04-23 04:56:00,6,0,"Yes",NA,"mikewoolf1"
2020-04-23 05:26:00,6,0,"Yes",NA,"mikewoolf1"
2020-04-23 06:03:00,6,0,"Yes",NA,"mikewoolf1"
2020-04-23 06:27:00,6,0,"Yes",NA,"mikewoolf1"
2020-04-23 06:57:00,6,0,"Yes",NA,"mikewoolf1"
2020-04-23 07:27:00,6,0,"Yes",NA,"mikewoolf1"
2020-04-23 07:57:00,6,0,"Yes",NA,"mikewoolf1"
2020-04-23 08:27:00,6,0,"Yes",NA,"mikewoolf1"
2020-04-23 08:57:00,6,0,"Yes",NA,"mikewoolf1"
2020-04-23 09:38:00,6,0,"Yes",NA,"mikewoolf1"
2020-04-23 10:14:00,6,0,"Yes",NA,"mikewoolf1"
2020-04-23 10:27:00,6,0,"Yes",NA,"mikewoolf1"
2020-04-23 10:57:00,6,0,"Yes",NA,"mikewoolf1"
2020-04-23 11:27:00,6,0,"Yes",NA,"mikewoolf1"
2020-04-23 11:58:00,6,0,"Yes",NA,"mikewoolf1"
2020-04-23 12:28:00,6,0,"Yes",NA,"mikewoolf1"
2020-04-23 13:05:00,6,0,"Yes",NA,"mikewoolf1"
2020-04-23 13:45:00,6,0,"Yes",NA,"mikewoolf1"
2020-04-23 13:58:00,6,0,"Yes",NA,"mikewoolf1"
